Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
250;0.000598;0.000712;0.000598;0.000584;0.001006;0.001059;0.000594;0.001380;0.000966;0.001217;0.000005;0.001394;0.000553;0.000704;0.000005;0.001431;0.000384;0.000440;0.000005;0.000955;0.000021;0.000038;0.000024;0.000150;0.000022;0.000038;0.000036;0.000050;0.000091;0.000081;0.000073;0.000086;0.000042;0.000060;0.000032;0.000035;0.000210;0.000069;0.001074;0.000686;0.000119;0.000139;0.000137;0.000101
260;0.000640;0.000800;0.000649;0.000646;0.001082;0.001175;0.000619;0.001410;0.000959;0.001044;0.000005;0.001370;0.000559;0.000672;0.000005;0.001332;0.000358;0.000438;0.000004;0.000826;0.000022;0.000038;0.000024;0.000024;0.000022;0.000038;0.000040;0.000038;0.000091;0.000084;0.000064;0.000064;0.000043;0.000051;0.000022;0.000024;0.000194;0.000062;0.001061;0.000672;0.000101;0.000118;0.000122;0.000107
270;0.000633;0.000640;0.000623;0.000715;0.001053;0.001153;0.000622;0.001454;0.001027;0.001140;0.000005;0.001474;0.000598;0.000761;0.000005;0.001452;0.000389;0.000474;0.000005;0.000880;0.000025;0.000039;0.000025;0.000025;0.000023;0.000040;0.000042;0.000040;0.000086;0.000089;0.000080;0.000081;0.000046;0.000051;0.000023;0.000026;0.000221;0.000065;0.001143;0.000723;0.000114;0.000122;0.000127;0.000122
280;0.000680;0.000713;0.000661;0.000665;0.001132;0.001221;0.000653;0.001560;0.001115;0.001230;0.000005;0.001589;0.000705;0.000809;0.000005;0.001545;0.000425;0.000507;0.000005;0.000955;0.000023;0.000038;0.000025;0.000025;0.000024;0.000041;0.000043;0.000041;0.000089;0.000102;0.000072;0.000070;0.000049;0.000068;0.000025;0.000027;0.000236;0.000078;0.001217;0.000808;0.000110;0.000129;0.000133;0.000115
290;0.000718;0.000735;0.000723;0.000723;0.001207;0.001443;0.000701;0.001721;0.001212;0.001318;0.000005;0.001692;0.000683;0.000844;0.000006;0.001673;0.000442;0.000551;0.000005;0.001024;0.000033;0.000039;0.000026;0.000036;0.000025;0.000043;0.000045;0.000043;0.000094;0.000096;0.000074;0.000073;0.000059;0.000057;0.000025;0.000029;0.000250;0.000065;0.001344;0.000843;0.000114;0.000134;0.000139;0.000121
300;0.000767;0.000786;0.000772;0.000763;0.001299;0.001379;0.000758;0.001800;0.001274;0.001449;0.000007;0.001836;0.000737;0.000916;0.000006;0.001775;0.000481;0.000578;0.000006;0.001094;0.000025;0.000041;0.000027;0.000027;0.000026;0.000044;0.000047;0.000044;0.000098;0.000100;0.000078;0.000075;0.000052;0.000059;0.000027;0.000029;0.000271;0.000064;0.001395;0.000910;0.000120;0.000141;0.000146;0.000126
100;0.000088;0.000090;0.000085;0.000086;0.000139;0.000155;0.000084;0.000215;0.000137;0.000154;0.000002;0.000200;0.000080;0.000106;0.000002;0.000310;0.000058;0.000076;0.000002;0.000127;0.000011;0.000025;0.000011;0.000011;0.000009;0.000016;0.000010;0.000016;0.000029;0.000028;0.000032;0.000022;0.000015;0.000016;0.000009;0.000009;0.000036;0.000018;0.000157;0.000102;0.000033;0.000037;0.000038;0.000033
200;0.000344;0.000349;0.000348;0.000341;0.000574;0.000612;0.000344;0.000806;0.000542;0.000671;0.000004;0.000810;0.000316;0.000413;0.000003;0.000783;0.000211;0.000268;0.000004;0.000499;0.000018;0.000034;0.000018;0.000018;0.000017;0.000031;0.000019;0.000030;0.000061;0.000063;0.000048;0.000047;0.000034;0.000037;0.000017;0.000019;0.000127;0.000042;0.000635;0.000399;0.000073;0.000085;0.000089;0.000078
300;0.000799;0.000796;0.000758;0.000816;0.001300;0.001390;0.000759;0.001794;0.001273;0.001400;0.000005;0.001853;0.000729;0.000907;0.000005;0.001795;0.000487;0.000567;0.000005;0.001092;0.000025;0.000040;0.000027;0.000027;0.000025;0.000045;0.000046;0.000044;0.000097;0.000102;0.000078;0.000075;0.000051;0.000059;0.000026;0.000029;0.000273;0.000064;0.001446;0.000903;0.000123;0.000150;0.000145;0.000126
400;0.001377;0.001386;0.001371;0.001369;0.002673;0.002484;0.001365;0.003204;0.002358;0.002530;0.000007;0.003315;0.001317;0.001641;0.000007;0.003175;0.000842;0.001010;0.000008;0.001945;0.000034;0.000047;0.000036;0.000035;0.000033;0.000058;0.000062;0.000058;0.000135;0.000156;0.000107;0.000104;0.000072;0.000082;0.000038;0.000042;0.000475;0.000097;0.002750;0.001612;0.000167;0.000197;0.000218;0.000177
500;0.002139;0.002207;0.002132;0.002132;0.003680;0.003906;0.002109;0.005040;0.003596;0.003898;0.000009;0.005958;0.002394;0.002767;0.000011;0.006529;0.001583;0.001793;0.000009;0.002993;0.000039;0.000055;0.000054;0.000045;0.000042;0.000073;0.000076;0.000073;0.000183;0.000181;0.000137;0.000135;0.000103;0.000123;0.000064;0.000054;0.000705;0.000134;0.003906;0.002535;0.000219;0.000255;0.000277;0.000232
600;0.003163;0.003158;0.003073;0.003092;0.005364;0.005768;0.003853;0.008267;0.005338;0.006053;0.000021;0.007636;0.003006;0.003654;0.000011;0.007247;0.001800;0.002244;0.000011;0.004319;0.000048;0.000062;0.000051;0.000052;0.000050;0.000087;0.000091;0.000121;0.000214;0.000226;0.000171;0.000167;0.000115;0.000128;0.000058;0.000064;0.001006;0.000164;0.005630;0.003643;0.000270;0.000334;0.000338;0.000290
700;0.004677;0.004738;0.004669;0.004741;0.008037;0.008475;0.004811;0.011658;0.007414;0.007872;0.000035;0.010083;0.003948;0.004937;0.000014;0.010205;0.002975;0.003630;0.000015;0.008854;0.000054;0.000080;0.000060;0.000059;0.000057;0.000119;0.000160;0.000140;0.000300;0.000358;0.000263;0.000275;0.000164;0.000185;0.000086;0.000096;0.001638;0.000225;0.010266;0.006466;0.000381;0.000478;0.000409;0.000365
800;0.005526;0.005582;0.005631;0.005479;0.011448;0.013129;0.006526;0.013045;0.009235;0.010220;0.000027;0.014707;0.005791;0.006310;0.000014;0.012924;0.003161;0.003915;0.000029;0.007720;0.000060;0.000076;0.000068;0.000068;0.000079;0.000114;0.000121;0.000115;0.000308;0.000313;0.000236;0.000245;0.000158;0.000185;0.000093;0.000091;0.001739;0.000216;0.010482;0.006943;0.000423;0.000490;0.000520;0.000447
900;0.008250;0.008345;0.008196;0.008451;0.013576;0.013134;0.007691;0.018461;0.011987;0.013741;0.000036;0.019935;0.007977;0.009803;0.000019;0.018004;0.004080;0.004961;0.000016;0.009784;0.000067;0.000104;0.000094;0.000094;0.000117;0.000200;0.000192;0.000184;0.000626;0.000452;0.000355;0.000349;0.000213;0.000251;0.000118;0.000118;0.002662;0.000283;0.018208;0.008113;0.000448;0.000510;0.000624;0.000494
1000;0.008576;0.009645;0.010502;0.010630;0.018025;0.018831;0.008457;0.024025;0.017709;0.017655;0.000033;0.020449;0.008436;0.010222;0.000017;0.020124;0.005033;0.006142;0.000017;0.011892;0.000074;0.000089;0.000083;0.000096;0.000081;0.000143;0.000161;0.000142;0.000382;0.000409;0.000307;0.000298;0.000206;0.000242;0.000098;0.000109;0.002651;0.000280;0.015474;0.010008;0.000488;0.000585;0.000599;0.000526
1100;0.010541;0.010711;0.010378;0.010477;0.017677;0.018734;0.010142;0.024294;0.017265;0.019077;0.000037;0.025009;0.009940;0.012052;0.000019;0.024027;0.006009;0.007369;0.000020;0.014375;0.000081;0.000096;0.000093;0.000092;0.000089;0.000171;0.000165;0.000156;0.000433;0.000449;0.000337;0.000331;0.000227;0.000263;0.000111;0.000122;0.003219;0.000342;0.018725;0.011995;0.000555;0.000655;0.000659;0.000599
1200;0.012324;0.012337;0.012211;0.012267;0.021040;0.022401;0.012137;0.028709;0.020635;0.022613;0.000040;0.030015;0.011947;0.014528;0.000020;0.028873;0.007179;0.008718;0.000031;0.017114;0.000087;0.000102;0.000101;0.000101;0.000098;0.000179;0.000180;0.000170;0.000464;0.000506;0.000372;0.000366;0.000248;0.000290;0.000125;0.000138;0.003832;0.000322;0.022204;0.014238;0.000614;0.000733;0.000740;0.000652
1300;0.014393;0.014516;0.014394;0.014533;0.024530;0.026312;0.014280;0.033850;0.024388;0.026499;0.000043;0.034285;0.014059;0.016966;0.000021;0.033457;0.008502;0.010329;0.000023;0.020051;0.000094;0.000121;0.000108;0.000108;0.000116;0.000185;0.000194;0.000196;0.000512;0.000543;0.000417;0.000397;0.000271;0.000324;0.000138;0.000152;0.004660;0.000372;0.026176;0.016801;0.000671;0.000801;0.000811;0.000726
1400;0.016758;0.016778;0.016738;0.016678;0.028361;0.030513;0.016558;0.039376;0.028489;0.030922;0.000047;0.041755;0.016270;0.019653;0.000024;0.038942;0.009848;0.011891;0.000024;0.023251;0.000111;0.000117;0.000115;0.000125;0.000112;0.000199;0.000210;0.000198;0.000557;0.000606;0.000443;0.000435;0.000301;0.000327;0.000160;0.000166;0.005182;0.000451;0.031781;0.019881;0.000727;0.000849;0.000901;0.000797
1500;0.019236;0.019425;0.019116;0.019140;0.032595;0.035226;0.018992;0.044951;0.032378;0.035680;0.000051;0.045934;0.018970;0.022855;0.000025;0.044959;0.011229;0.013855;0.000026;0.026657;0.000107;0.000124;0.000124;0.000125;0.000137;0.000240;0.000226;0.000212;0.000599;0.000644;0.000487;0.000467;0.000321;0.000370;0.000165;0.000180;0.006101;0.000444;0.034802;0.022334;0.000782;0.000972;0.000954;0.000858
1600;0.022312;0.022513;0.021723;0.021858;0.037321;0.039789;0.021687;0.051299;0.043971;0.046624;0.000053;0.052238;0.021186;0.025607;0.000027;0.051630;0.012879;0.015649;0.000029;0.031176;0.000115;0.000161;0.000133;0.000133;0.000129;0.000226;0.000249;0.000221;0.000740;0.000669;0.000508;0.000529;0.000337;0.000440;0.000180;0.000188;0.006618;0.000536;0.041147;0.026227;0.000850;0.001002;0.001035;0.000925
1700;0.024837;0.024901;0.024765;0.024715;0.041623;0.044969;0.024389;0.057659;0.041229;0.046776;0.000057;0.058787;0.023713;0.029135;0.000028;0.057572;0.014202;0.017827;0.000029;0.034339;0.000133;0.000138;0.000141;0.000141;0.000147;0.000241;0.000263;0.000247;0.000716;0.000746;0.000562;0.000548;0.000383;0.000425;0.000186;0.000203;0.007737;0.000524;0.048832;0.029604;0.000911;0.001079;0.001114;0.000989
1800;0.027635;0.027825;0.027706;0.028034;0.047241;0.051550;0.027235;0.064934;0.046755;0.051267;0.000061;0.065856;0.026519;0.033020;0.000030;0.064628;0.015989;0.019759;0.000032;0.038328;0.000129;0.000144;0.000199;0.000151;0.000155;0.000256;0.000279;0.000254;0.000735;0.000795;0.000592;0.000625;0.000405;0.000492;0.000192;0.000220;0.008613;0.000587;0.050317;0.032206;0.000961;0.001154;0.001181;0.001055
1900;0.030852;0.031075;0.031118;0.030801;0.052157;0.056213;0.030440;0.072235;0.051987;0.056823;0.000064;0.073488;0.029577;0.036289;0.000043;0.078724;0.017770;0.021843;0.000033;0.042632;0.000136;0.000151;0.000158;0.000158;0.000163;0.000269;0.000287;0.000269;0.000769;0.000850;0.000627;0.000611;0.000424;0.000477;0.000214;0.000223;0.009541;0.000646;0.055901;0.035830;0.001028;0.001242;0.001266;0.001130
2000;0.036137;0.035281;0.034548;0.034434;0.057719;0.063475;0.033615;0.080137;0.057289;0.062801;0.000067;0.081569;0.032387;0.040173;0.000034;0.079479;0.019436;0.024220;0.000035;0.047372;0.000142;0.000158;0.000166;0.000165;0.000161;0.000283;0.000299;0.000293;0.000824;0.000893;0.000658;0.000659;0.000455;0.000504;0.000259;0.000233;0.010449;0.000692;0.062312;0.040132;0.001089;0.001293;0.001350;0.001185
2100;0.037554;0.037772;0.037688;0.037814;0.063853;0.068451;0.037219;0.091784;0.066998;0.073726;0.000071;0.090572;0.036210;0.048564;0.000036;0.094898;0.021805;0.026567;0.000037;0.059410;0.000150;0.000166;0.000173;0.000206;0.000205;0.000340;0.000369;0.000355;0.001066;0.001135;0.000871;0.000765;0.000473;0.000650;0.000279;0.000315;0.012992;0.000773;0.078553;0.050116;0.001181;0.001370;0.001398;0.001261
