Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
3200;0.087261;0.087489;0.087254;0.087088;0.147760;0.157732;0.086373;0.205210;0.146709;0.161187;0.000130;0.208544;0.084171;0.100585;0.000054;0.203556;0.050896;0.060202;0.000056;0.121007;0.000234;0.000240;0.000262;0.000264;0.000265;0.000471;0.000486;0.000460;0.001380;0.001513;0.001120;0.001098;0.000770;0.000851;0.000378;0.000412;0.026673;0.001103;0.157995;0.102614;0.001948;0.002226;0.002352;0.002040
3300;0.093590;0.093928;0.092584;0.092618;0.157868;0.167715;0.091709;0.217798;0.158303;0.169088;0.000110;0.221057;0.090379;0.106896;0.000056;0.216565;0.054005;0.064035;0.000057;0.130369;0.000241;0.000248;0.000271;0.000272;0.000274;0.000543;0.000491;0.000465;0.001430;0.001568;0.001159;0.001144;0.000795;0.000906;0.000389;0.000424;0.028371;0.001176;0.168185;0.107969;0.001934;0.002285;0.002332;0.002124
3400;0.098601;0.098775;0.099076;0.098425;0.167594;0.177847;0.097565;0.231514;0.166664;0.180046;0.000113;0.235531;0.096253;0.113667;0.000066;0.229683;0.057736;0.067915;0.000060;0.136300;0.000239;0.000255;0.000278;0.000280;0.000280;0.000489;0.000515;0.000489;0.001496;0.001626;0.001207;0.001204;0.000805;0.000915;0.000399;0.000441;0.030140;0.001163;0.181496;0.117825;0.001981;0.002372;0.002422;0.002193
3500;0.104215;0.104578;0.104256;0.104633;0.178417;0.189068;0.103091;0.246762;0.176211;0.191924;0.000117;0.249262;0.102157;0.121366;0.000059;0.243070;0.060927;0.072509;0.000060;0.144470;0.000246;0.000262;0.000316;0.000296;0.000281;0.000503;0.000531;0.000502;0.001536;0.001676;0.001250;0.001221;0.000830;0.000938;0.000405;0.000452;0.031951;0.001210;0.189702;0.121305;0.002045;0.002440;0.002489;0.002266
3600;0.110400;0.110418;0.110734;0.111060;0.187689;0.200614;0.109102;0.258843;0.186436;0.201774;0.000120;0.264447;0.108601;0.129247;0.000059;0.257362;0.064210;0.076372;0.000063;0.152777;0.000253;0.000359;0.000305;0.000306;0.000287;0.000507;0.000544;0.000507;0.001588;0.001743;0.001272;0.001257;0.000904;0.000979;0.000413;0.000453;0.033739;0.001287;0.200103;0.128293;0.002112;0.002541;0.002588;0.002337
3700;0.118104;0.116781;0.116399;0.116441;0.199039;0.211823;0.116056;0.274395;0.196547;0.213232;0.000124;0.278036;0.114503;0.135253;0.000062;0.271771;0.067938;0.080669;0.000064;0.161310;0.000269;0.000275;0.000303;0.000304;0.000297;0.000522;0.000560;0.000522;0.001642;0.001805;0.001319;0.001306;0.000952;0.001007;0.000433;0.000474;0.035682;0.001320;0.211312;0.135712;0.002183;0.002596;0.002656;0.002419
3800;0.122910;0.123341;0.122944;0.123071;0.209548;0.222135;0.121627;0.290269;0.208322;0.224198;0.000136;0.293556;0.121537;0.142583;0.000063;0.286853;0.071994;0.085043;0.000066;0.170102;0.000277;0.000297;0.000310;0.000313;0.000314;0.000536;0.000576;0.000553;0.001688;0.001837;0.001352;0.001347;0.000905;0.001046;0.000444;0.000486;0.037471;0.001360;0.222544;0.143047;0.002250;0.002673;0.002747;0.002486
3900;0.129930;0.129777;0.130549;0.129833;0.221090;0.236803;0.130535;0.304776;0.240087;0.276085;0.000307;0.354823;0.135251;0.150980;0.000065;0.304781;0.076328;0.089680;0.000068;0.186404;0.000274;0.000290;0.000353;0.000321;0.000311;0.000558;0.000582;0.000550;0.001724;0.001917;0.001379;0.001370;0.000929;0.001045;0.000455;0.000488;0.039406;0.001295;0.235328;0.154462;0.002366;0.002763;0.002810;0.002570
4000;0.136352;0.136940;0.136518;0.138785;0.260590;0.284726;0.140912;0.323062;0.232314;0.251697;0.000134;0.325776;0.134090;0.157360;0.000075;0.319737;0.094181;0.095771;0.000070;0.190027;0.000296;0.000297;0.000328;0.000329;0.000321;0.000614;0.000654;0.000662;0.001829;0.001954;0.001491;0.001484;0.001036;0.001118;0.000464;0.000507;0.042332;0.001541;0.248621;0.160077;0.002403;0.002836;0.002923;0.002664
4100;0.143760;0.143752;0.143999;0.152967;0.247109;0.261372;0.142237;0.337551;0.243044;0.261257;0.000138;0.342517;0.141506;0.167154;0.000068;0.334460;0.084225;0.098384;0.000071;0.198366;0.000287;0.000303;0.000335;0.000338;0.000328;0.000600;0.000622;0.000578;0.001826;0.002021;0.001451;0.001456;0.001002;0.001181;0.000467;0.000521;0.043697;0.001617;0.259733;0.166512;0.002444;0.002916;0.002973;0.002706
