Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
1100;0.010244;0.010291;0.010275;0.010360;0.018111;0.018966;0.010213;0.024253;0.017652;0.019021;0.000037;0.024667;0.010505;0.012221;0.000018;0.024067;0.006471;0.007433;0.000022;0.014468;0.000079;0.000097;0.000095;0.000093;0.000092;0.000159;0.000168;0.000237;0.000422;0.000452;0.000338;0.000363;0.000229;0.000249;0.000110;0.000122;0.003271;0.000276;0.018697;0.012041;0.000559;0.000651;0.000666;0.000622
1200;0.012539;0.012329;0.012161;0.012245;0.021110;0.022557;0.012221;0.029329;0.021380;0.023217;0.000040;0.029230;0.012171;0.014500;0.000022;0.028652;0.007411;0.008828;0.000021;0.017099;0.000087;0.000105;0.000100;0.000106;0.000103;0.000175;0.000186;0.000175;0.000467;0.000503;0.000377;0.000376;0.000250;0.000288;0.000123;0.000137;0.003913;0.000386;0.022196;0.014473;0.000612;0.000719;0.000736;0.000666
1300;0.014481;0.014401;0.014292;0.014400;0.025046;0.026311;0.014317;0.034045;0.025587;0.026557;0.000047;0.034274;0.014516;0.017075;0.000022;0.033594;0.008898;0.010417;0.000023;0.020061;0.000092;0.000109;0.000110;0.000112;0.000107;0.000189;0.000200;0.000189;0.000521;0.000542;0.000410;0.000402;0.000270;0.000309;0.000139;0.000154;0.004452;0.000379;0.026052;0.016774;0.000675;0.000799;0.000815;0.000745
1400;0.016545;0.016631;0.016490;0.016699;0.028922;0.030446;0.016659;0.039520;0.028878;0.030918;0.000049;0.041199;0.017334;0.019991;0.000023;0.039002;0.010246;0.011822;0.000026;0.023264;0.000099;0.000123;0.000116;0.000116;0.000114;0.000217;0.000216;0.000206;0.000551;0.000593;0.000446;0.000438;0.000304;0.000340;0.000153;0.000168;0.005226;0.000442;0.030299;0.020726;0.000736;0.000862;0.000890;0.000815
1500;0.019097;0.019199;0.018983;0.019206;0.032859;0.035781;0.019998;0.047457;0.033263;0.035453;0.000058;0.046264;0.019311;0.022898;0.000025;0.045547;0.011784;0.015051;0.000026;0.026770;0.000106;0.000125;0.000131;0.000129;0.000123;0.000222;0.000230;0.000216;0.000594;0.000637;0.000479;0.000487;0.000327;0.000356;0.000164;0.000182;0.006064;0.000456;0.034710;0.022425;0.000827;0.000929;0.000958;0.000858
1600;0.021574;0.021725;0.021571;0.021836;0.037064;0.039652;0.021723;0.051215;0.037034;0.040124;0.000060;0.051983;0.021433;0.025609;0.000028;0.051098;0.012842;0.015422;0.000028;0.030362;0.000113;0.000137;0.000134;0.000136;0.000133;0.000230;0.000246;0.000238;0.000634;0.000684;0.000521;0.000508;0.000371;0.000384;0.000177;0.000193;0.006875;0.000527;0.040308;0.025457;0.000858;0.001005;0.001030;0.000919
1700;0.024617;0.024535;0.024329;0.024581;0.041839;0.044920;0.024341;0.057706;0.041468;0.045243;0.000061;0.058630;0.023985;0.028785;0.000028;0.057391;0.014773;0.017389;0.000030;0.034255;0.000122;0.000139;0.000140;0.000143;0.000139;0.000245;0.000263;0.000253;0.000689;0.000744;0.000556;0.000548;0.000368;0.000417;0.000202;0.000210;0.007592;0.000512;0.044625;0.028651;0.000912;0.001073;0.001102;0.000990
1800;0.027272;0.027645;0.027255;0.027508;0.046934;0.050128;0.027305;0.064875;0.046611;0.050395;0.000067;0.068072;0.027705;0.032404;0.000030;0.064969;0.016212;0.019480;0.000031;0.038345;0.000139;0.000147;0.000150;0.000151;0.000148;0.000265;0.000278;0.000258;0.000726;0.000787;0.000583;0.000588;0.000393;0.000456;0.000191;0.000219;0.008573;0.000554;0.050181;0.033030;0.001022;0.001152;0.001179;0.001134
1900;0.031721;0.030722;0.030977;0.031798;0.052593;0.056069;0.030720;0.072340;0.052565;0.056950;0.000065;0.073457;0.029667;0.035936;0.000037;0.071990;0.018342;0.021650;0.000033;0.042855;0.000139;0.000151;0.000158;0.000158;0.000158;0.000278;0.000291;0.000275;0.000797;0.000839;0.000620;0.000620;0.000420;0.000470;0.000201;0.000222;0.009560;0.000571;0.055914;0.035976;0.001035;0.001220;0.001261;0.001134
2000;0.034145;0.034399;0.033796;0.034357;0.057852;0.062357;0.033836;0.081042;0.057269;0.063063;0.000067;0.081850;0.032737;0.040022;0.000033;0.080457;0.019564;0.024206;0.000035;0.047389;0.000151;0.000159;0.000169;0.000180;0.000163;0.000291;0.000309;0.000295;0.000819;0.000899;0.000657;0.000648;0.000459;0.000495;0.000221;0.000236;0.010686;0.000672;0.061921;0.039716;0.001098;0.001316;0.001336;0.001237
2100;0.038226;0.038062;0.037464;0.037661;0.063532;0.071019;0.037370;0.089205;0.063342;0.069654;0.000070;0.090273;0.035764;0.044386;0.000035;0.087776;0.021580;0.026850;0.000038;0.052297;0.000184;0.000166;0.000174;0.000178;0.000171;0.000308;0.000324;0.000311;0.000899;0.000939;0.000714;0.000695;0.000492;0.000537;0.000227;0.000248;0.011630;0.000670;0.068724;0.044385;0.001188;0.001373;0.001429;0.001320
2200;0.041916;0.041270;0.041085;0.041281;0.069901;0.076747;0.041064;0.097420;0.070283;0.076753;0.000074;0.098618;0.039991;0.048508;0.000037;0.097436;0.023685;0.029152;0.000039;0.057339;0.000156;0.000174;0.000185;0.000184;0.000185;0.000318;0.000339;0.000318;0.000915;0.000999;0.000809;0.000733;0.000505;0.000553;0.000245;0.000287;0.012699;0.000756;0.075576;0.048650;0.001259;0.001459;0.001490;0.001337
2300;0.044781;0.045347;0.046614;0.045037;0.076352;0.083512;0.044728;0.109614;0.076346;0.084090;0.000079;0.110074;0.043061;0.053506;0.000038;0.106512;0.025818;0.032291;0.000040;0.063265;0.000170;0.000181;0.000191;0.000195;0.000189;0.000337;0.000352;0.000333;0.000999;0.001048;0.000777;0.000767;0.000535;0.000599;0.000253;0.000281;0.013922;0.000720;0.082120;0.052972;0.001356;0.001584;0.001589;0.001436
2400;0.048773;0.049329;0.048863;0.049465;0.083221;0.090703;0.048655;0.116185;0.082995;0.091530;0.000082;0.118414;0.047864;0.058376;0.000042;0.114794;0.028567;0.035072;0.000041;0.069167;0.000169;0.000185;0.000201;0.000200;0.000197;0.000349;0.000372;0.000350;0.001083;0.001147;0.000816;0.000845;0.000594;0.000703;0.000270;0.000300;0.015258;0.000765;0.089493;0.057565;0.001386;0.001614;0.001638;0.001477
2500;0.053201;0.053650;0.052852;0.053102;0.090618;0.098533;0.053118;0.127390;0.090433;0.099544;0.000084;0.127725;0.051765;0.063674;0.000042;0.125061;0.030709;0.038021;0.000045;0.074058;0.000178;0.000206;0.000278;0.000209;0.000211;0.000368;0.000382;0.000364;0.001053;0.001147;0.000866;0.000836;0.000567;0.000643;0.000284;0.000314;0.016401;0.000830;0.097429;0.062186;0.001443;0.001697;0.001736;0.001555
2600;0.057699;0.057381;0.057244;0.057980;0.098457;0.105963;0.057891;0.136941;0.097378;0.107403;0.000093;0.138298;0.055699;0.068677;0.000044;0.136668;0.033452;0.041018;0.000045;0.080313;0.000184;0.000203;0.000217;0.000245;0.000211;0.000379;0.000395;0.000378;0.001101;0.001213;0.000892;0.000878;0.000661;0.000684;0.000305;0.000330;0.017760;0.000859;0.104857;0.067440;0.001491;0.001750;0.001797;0.001618
2700;0.061690;0.063449;0.061587;0.062171;0.105200;0.114648;0.062310;0.147896;0.106260;0.114543;0.000091;0.149254;0.060126;0.073242;0.000051;0.145163;0.035830;0.043800;0.000047;0.086968;0.000189;0.000231;0.000229;0.000226;0.000223;0.000390;0.000424;0.000390;0.001156;0.001255;0.000933;0.000926;0.000631;0.000707;0.000315;0.000347;0.019737;0.000909;0.114998;0.072894;0.001553;0.001822;0.001874;0.001699
2800;0.066289;0.067019;0.066360;0.066720;0.114197;0.122696;0.066456;0.159724;0.114171;0.124554;0.000095;0.160291;0.065694;0.079706;0.000051;0.156960;0.039188;0.047927;0.000048;0.093230;0.000196;0.000215;0.000234;0.000236;0.000236;0.000418;0.000430;0.000410;0.001197;0.001302;0.001025;0.001029;0.000696;0.000749;0.000334;0.000420;0.020635;0.000873;0.121833;0.077917;0.001612;0.001907;0.002013;0.001757
2900;0.072409;0.071358;0.071635;0.071549;0.122359;0.130563;0.071343;0.170000;0.121146;0.132506;0.000097;0.172128;0.070042;0.084156;0.000048;0.167849;0.041609;0.050325;0.000050;0.099532;0.000206;0.000222;0.000252;0.000243;0.000238;0.000419;0.000445;0.000424;0.001244;0.001354;0.001020;0.001023;0.000717;0.000787;0.000343;0.000374;0.022078;0.000961;0.132132;0.085414;0.001772;0.001999;0.002039;0.001849
3000;0.078626;0.078366;0.078117;0.079404;0.132680;0.139838;0.076718;0.182078;0.131259;0.141813;0.000101;0.184486;0.075379;0.091255;0.000052;0.181193;0.045235;0.054635;0.000052;0.106738;0.000220;0.000242;0.000293;0.000284;0.000247;0.000432;0.000463;0.000473;0.001292;0.001529;0.001080;0.001036;0.000743;0.000810;0.000357;0.000395;0.024135;0.001053;0.141562;0.089602;0.001789;0.002097;0.002156;0.001940
3100;0.083009;0.083752;0.081347;0.082520;0.140303;0.149527;0.082284;0.194465;0.138760;0.152222;0.000107;0.196483;0.079460;0.097203;0.000056;0.192984;0.047627;0.058285;0.000054;0.115914;0.000270;0.000235;0.000267;0.000258;0.000280;0.000465;0.000487;0.000447;0.001479;0.001454;0.001090;0.001112;0.000803;0.000877;0.000369;0.000435;0.025842;0.001143;0.153187;0.095807;0.001851;0.002200;0.002229;0.002026
3200;0.086763;0.087143;0.087093;0.087345;0.147953;0.159337;0.086193;0.207710;0.147051;0.162052;0.000107;0.210139;0.083956;0.102697;0.000053;0.203630;0.051559;0.063115;0.000056;0.120861;0.000242;0.000244;0.000270;0.000286;0.000261;0.000459;0.000488;0.000485;0.001389;0.001503;0.001124;0.001103;0.000786;0.000885;0.000381;0.000419;0.026701;0.001267;0.159655;0.102454;0.002030;0.002308;0.002453;0.002054
3300;0.093668;0.093706;0.092453;0.092946;0.157436;0.168463;0.092547;0.218505;0.157022;0.170134;0.000116;0.222039;0.090465;0.108398;0.000055;0.217577;0.053595;0.064700;0.000059;0.129796;0.000256;0.000262;0.000277;0.000275;0.000321;0.000501;0.000502;0.000497;0.001453;0.001574;0.001341;0.001179;0.000863;0.000988;0.000435;0.000466;0.028656;0.001147;0.170571;0.109791;0.001996;0.002316;0.002372;0.002162
3400;0.098100;0.098844;0.098598;0.099412;0.167595;0.180933;0.098770;0.232680;0.168326;0.181784;0.000116;0.239730;0.096068;0.115422;0.000057;0.233448;0.057356;0.069344;0.000059;0.138274;0.000249;0.000257;0.000282;0.000296;0.000294;0.000518;0.000558;0.000526;0.001541;0.001755;0.001256;0.001208;0.000846;0.000922;0.000398;0.000461;0.030077;0.001197;0.180563;0.115722;0.002020;0.002370;0.002444;0.002312
3500;0.103700;0.104143;0.104049;0.104722;0.177695;0.192697;0.105482;0.247363;0.176971;0.194288;0.000119;0.252292;0.101610;0.124076;0.000067;0.245354;0.061368;0.073718;0.000089;0.147533;0.000253;0.000264;0.000321;0.000306;0.000292;0.000525;0.000543;0.000518;0.001540;0.001693;0.001335;0.001329;0.000868;0.000993;0.000407;0.000472;0.032114;0.001226;0.192273;0.122387;0.002078;0.002585;0.002625;0.002318
3600;0.110620;0.111331;0.110026;0.111024;0.188285;0.206574;0.112099;0.264857;0.191345;0.209246;0.000121;0.266555;0.107144;0.130347;0.000062;0.259525;0.064347;0.077971;0.000064;0.154403;0.000268;0.000294;0.000316;0.000299;0.000320;0.000522;0.000576;0.000548;0.001716;0.001811;0.001319;0.001268;0.000932;0.000996;0.000413;0.000485;0.033712;0.001264;0.201580;0.130586;0.002150;0.002906;0.002590;0.002359
3700;0.116505;0.116541;0.116789;0.117053;0.198596;0.213457;0.115957;0.276837;0.199390;0.217512;0.000135;0.282006;0.114047;0.138445;0.000062;0.275515;0.067816;0.082576;0.000064;0.162204;0.000260;0.000306;0.000328;0.000329;0.000305;0.000554;0.000571;0.000592;0.001669;0.001874;0.001372;0.001324;0.000880;0.000994;0.000453;0.000473;0.036378;0.001463;0.212827;0.137099;0.002224;0.002620;0.002725;0.002442
3800;0.122465;0.123251;0.122757;0.123363;0.209658;0.225760;0.123377;0.293452;0.210978;0.229871;0.000141;0.296409;0.118143;0.146158;0.000067;0.290450;0.070650;0.086966;0.000067;0.171109;0.000269;0.000287;0.000313;0.000323;0.000308;0.000559;0.000580;0.000551;0.001749;0.002060;0.001357;0.001334;0.000931;0.001020;0.000436;0.000483;0.038814;0.001295;0.224182;0.145653;0.002277;0.002768;0.002743;0.002622
3900;0.129528;0.130644;0.130270;0.129910;0.219628;0.239690;0.129712;0.307241;0.220405;0.240296;0.000152;0.313591;0.125964;0.154161;0.000065;0.306098;0.075323;0.091942;0.000071;0.180028;0.000277;0.000299;0.000320;0.000342;0.000337;0.000616;0.000595;0.000573;0.001800;0.001893;0.001497;0.001450;0.001113;0.001164;0.000453;0.000498;0.040325;0.001416;0.240080;0.153078;0.002354;0.002914;0.003034;0.002583
4000;0.136475;0.135992;0.136049;0.136620;0.232899;0.250705;0.136207;0.322207;0.230991;0.252236;0.000135;0.329609;0.132224;0.161534;0.000067;0.321121;0.079642;0.097030;0.000105;0.191180;0.000308;0.000303;0.000375;0.000385;0.000346;0.000581;0.000632;0.000638;0.001767;0.002027;0.001466;0.001457;0.000960;0.001084;0.000481;0.000506;0.041831;0.001424;0.249753;0.160586;0.002439;0.002848;0.003115;0.002648
4100;0.143608;0.144846;0.142291;0.143159;0.244993;0.263651;0.143811;0.344450;0.243281;0.265263;0.000139;0.344283;0.139176;0.170599;0.000074;0.338404;0.081835;0.101340;0.000071;0.200327;0.000292;0.000308;0.000364;0.000356;0.000338;0.000599;0.000947;0.000634;0.001876;0.002042;0.001478;0.001501;0.001001;0.001166;0.000499;0.000543;0.044392;0.001532;0.262177;0.169636;0.002506;0.003143;0.002993;0.002785
