Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
100;0.000087;0.000089;0.000084;0.000086;0.000150;0.000156;0.000084;0.000200;0.000142;0.000155;0.000002;0.000202;0.000092;0.000105;0.000002;0.000217;0.000065;0.000074;0.000002;0.000130;0.000009;0.000025;0.000010;0.000010;0.000009;0.000018;0.000010;0.000016;0.000026;0.000027;0.000021;0.000021;0.000014;0.000015;0.000008;0.000012;0.000037;0.000019;0.000158;0.000102;0.000034;0.000038;0.000039;0.000039
200;0.000348;0.000350;0.000336;0.000346;0.000585;0.000610;0.000338;0.000798;0.000583;0.000614;0.000003;0.000808;0.000343;0.000386;0.000004;0.000795;0.000217;0.000258;0.000004;0.000493;0.000018;0.000032;0.000018;0.000018;0.000017;0.000030;0.000019;0.000030;0.000058;0.000061;0.000052;0.000047;0.000032;0.000038;0.000017;0.000020;0.000146;0.000041;0.000627;0.000404;0.000081;0.000087;0.000090;0.000076
300;0.000820;0.000794;0.000801;0.000770;0.001297;0.001417;0.000763;0.001804;0.001281;0.001432;0.000005;0.001836;0.000726;0.000945;0.000006;0.001905;0.000534;0.000685;0.000005;0.001209;0.000023;0.000047;0.000029;0.000029;0.000026;0.000045;0.000047;0.000044;0.000104;0.000104;0.000080;0.000075;0.000054;0.000066;0.000028;0.000030;0.000288;0.000064;0.001452;0.000910;0.000125;0.000140;0.000147;0.000131
400;0.001373;0.001715;0.001371;0.001375;0.002298;0.003197;0.001791;0.003766;0.002724;0.002905;0.000007;0.003691;0.001340;0.001672;0.000007;0.003196;0.000810;0.001049;0.000007;0.001953;0.000030;0.000049;0.000036;0.000037;0.000033;0.000059;0.000064;0.000059;0.000132;0.000143;0.000111;0.000105;0.000071;0.000079;0.000037;0.000042;0.000450;0.000090;0.002517;0.001879;0.000177;0.000196;0.000215;0.000178
500;0.002245;0.002318;0.002222;0.002378;0.004005;0.004011;0.002235;0.005246;0.003821;0.004170;0.000008;0.005292;0.002161;0.002902;0.000008;0.005112;0.001425;0.001773;0.000009;0.003170;0.000037;0.000055;0.000051;0.000045;0.000044;0.000084;0.000115;0.000074;0.000174;0.000239;0.000138;0.000139;0.000093;0.000112;0.000048;0.000051;0.000751;0.000134;0.004046;0.002578;0.000229;0.000290;0.000267;0.000240
600;0.003096;0.003108;0.003108;0.003087;0.005296;0.005647;0.003050;0.007314;0.005186;0.005786;0.000021;0.007335;0.002977;0.003678;0.000010;0.007341;0.001826;0.002310;0.000011;0.004344;0.000044;0.000061;0.000051;0.000053;0.000050;0.000087;0.000096;0.000089;0.000212;0.000223;0.000179;0.000169;0.000115;0.000128;0.000059;0.000066;0.001043;0.000156;0.005592;0.003598;0.000281;0.000319;0.000337;0.000306
700;0.004173;0.004196;0.004152;0.004958;0.007062;0.007601;0.004137;0.009826;0.006995;0.007679;0.000024;0.009999;0.003979;0.005092;0.000012;0.009791;0.002662;0.003122;0.000012;0.005910;0.000051;0.000071;0.000062;0.000060;0.000058;0.000125;0.000111;0.000102;0.000255;0.000270;0.000205;0.000203;0.000133;0.000159;0.000070;0.000078;0.001353;0.000182;0.007724;0.004918;0.000334;0.000385;0.000399;0.000358
800;0.005689;0.005469;0.005450;0.005567;0.009477;0.010084;0.005412;0.012921;0.009307;0.010032;0.000027;0.013040;0.005376;0.006309;0.000013;0.012733;0.003302;0.003879;0.000014;0.007678;0.000058;0.000075;0.000067;0.000070;0.000066;0.000122;0.000123;0.000116;0.000294;0.000312;0.000237;0.000238;0.000161;0.000175;0.000083;0.000090;0.001727;0.000228;0.010021;0.006481;0.000448;0.000447;0.000523;0.000412
900;0.006880;0.007206;0.006908;0.007224;0.011869;0.015999;0.006898;0.016363;0.011784;0.012821;0.000031;0.016636;0.006947;0.008350;0.000015;0.016300;0.004197;0.005039;0.000018;0.009727;0.000065;0.000089;0.000084;0.000112;0.000120;0.000135;0.000140;0.000133;0.000338;0.000358;0.000272;0.000267;0.000174;0.000206;0.000092;0.000098;0.002330;0.000243;0.012598;0.008051;0.000454;0.000514;0.000577;0.000486
1000;0.008484;0.008555;0.008492;0.010533;0.014954;0.016546;0.008590;0.020187;0.014642;0.015773;0.000035;0.020326;0.008551;0.010122;0.000017;0.019902;0.005208;0.006185;0.000017;0.011924;0.000083;0.000088;0.000083;0.000084;0.000108;0.000151;0.000156;0.000151;0.000374;0.000402;0.000302;0.000303;0.000209;0.000231;0.000099;0.000110;0.002779;0.000353;0.015479;0.009969;0.000501;0.000583;0.000593;0.000550
